Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2018","2018","t","2896026.16","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2019","2019","t","3107120.25","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2020","2020","t","3282134.81","A","Official figure"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2021","2021","t","3592934.37","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01341","Apples","2022","2022","t","3785189.15","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1961","1961","t","63439","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1962","1962","t","65118","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1963","1963","t","61760","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1964","1964","t","62759","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1965","1965","t","66269","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1966","1966","t","68331","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1967","1967","t","71416","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1968","1968","t","73906","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1969","1969","t","76704","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1970","1970","t","78464","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1971","1971","t","80181","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1972","1972","t","86052","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1973","1973","t","87090","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1974","1974","t","97017","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1975","1975","t","117384","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1976","1976","t","112374","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1977","1977","t","116720","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1978","1978","t","120298","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1979","1979","t","131592","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1980","1980","t","137343","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1981","1981","t","137245","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1982","1982","t","140689","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1983","1983","t","150873","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1984","1984","t","149515","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1985","1985","t","156918","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1986","1986","t","168065","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1987","1987","t","181384","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1988","1988","t","189131","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1989","1989","t","196018","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1990","1990","t","205623","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1991","1991","t","234461.94","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1992","1992","t","239741.3","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1993","1993","t","264154.52","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1994","1994","t","258595.92","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1995","1995","t","242995.09","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1996","1996","t","257004.85","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1997","1997","t","259819.85","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1998","1998","t","325988.07","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","1999","1999","t","299752.38","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","2000","2000","t","401407.62","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","2001","2001","t","313646.88","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","2002","2002","t","347076.51","E","Estimated value"
"QCL","Crops and livestock products","002","Africa","5510","Production","01311","Avocados","2003","2003","t","348166.31","E","Estimated value"
